jpg_id,file_name,sd_card,date_taken,monkey_group,orientation,contents
182,20220331_SD02_3369.JPG,SD02,2022-03-31,Instigators,portrait,monkey
183,20220331_SD02_3370.JPG,SD02,2022-03-31,Instigators,portrait,monkey
184,20220331_SD02_3371.JPG,SD02,2022-03-31,Instigators,landscape,monkey
185,20220331_SD02_3376.JPG,SD02,2022-03-31,Instigators,portrait,monkey
186,20220331_SD02_3377.JPG,SD02,2022-03-31,Instigators,portrait,monkey
187,20220331_SD02_3379.JPG,SD02,2022-03-31,Instigators,portrait,monkey
188,20220331_SD02_3383.JPG,SD02,2022-03-31,Instigators,landscape,monkey
189,20220331_SD02_3387.JPG,SD02,2022-03-31,Instigators,portrait,monkey
190,20220331_SD02_3389.JPG,SD02,2022-03-31,Instigators,portrait,monkey
191,20220331_SD02_3394.JPG,SD02,2022-03-31,Instigators,portrait,monkey
192,20220331_SD02_3395.JPG,SD02,2022-03-31,Instigators,portrait,monkey
193,20220331_SD02_3398.JPG,SD02,2022-03-31,Instigators,portrait,monkey
194,20220331_SD02_3399.JPG,SD02,2022-03-31,Instigators,portrait,monkey
195,20220331_SD02_3414.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
196,20220331_SD02_3417.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
197,20220331_SD02_3418.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
198,20220331_SD02_3419.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
199,20220331_SD02_3421.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
200,20220331_SD02_3422.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
201,20220331_SD02_3424.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
202,20220331_SD02_3425.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
203,20220331_SD02_3438.JPG,SD02,2022-03-31,Instigators,portrait,monkey
204,20220331_SD02_3439.JPG,SD02,2022-03-31,Instigators,portrait,monkey
205,20220331_SD02_3440.JPG,SD02,2022-03-31,Instigators,portrait,monkey
206,20220331_SD02_3441.JPG,SD02,2022-03-31,Instigators,portrait,monkey
207,20220331_SD02_3443.JPG,SD02,2022-03-31,Instigators,portrait,monkey
208,20220331_SD02_3444.JPG,SD02,2022-03-31,Instigators,portrait,monkey
209,20220331_SD02_3446.JPG,SD02,2022-03-31,Instigators,portrait,monkey
210,20220331_SD02_3447.JPG,SD02,2022-03-31,Instigators,portrait,monkey
211,20220331_SD02_3448.JPG,SD02,2022-03-31,Instigators,portrait,monkey
212,20220331_SD02_3449.JPG,SD02,2022-03-31,Instigators,portrait,monkey
213,20220331_SD02_3450.JPG,SD02,2022-03-31,Instigators,portrait,monkey
214,20220331_SD02_3453.JPG,SD02,2022-03-31,Instigators,landscape,monkey
215,20220331_SD02_3454.JPG,SD02,2022-03-31,Instigators,landscape,monkey
216,20220331_SD02_3455.JPG,SD02,2022-03-31,Instigators,portrait,monkey
217,20220331_SD02_3457.JPG,SD02,2022-03-31,Instigators,portrait,monkey
218,20220331_SD02_3458.JPG,SD02,2022-03-31,Instigators,portrait,monkey
219,20220331_SD02_3459.JPG,SD02,2022-03-31,Instigators,portrait,monkey
220,20220331_SD02_3461.JPG,SD02,2022-03-31,Instigators,portrait,monkey
221,20220331_SD02_3462.JPG,SD02,2022-03-31,Instigators,portrait,monkey
222,20220331_SD02_3463.JPG,SD02,2022-03-31,Instigators,portrait,monkey
223,20220331_SD02_3464.JPG,SD02,2022-03-31,Instigators,portrait,monkey
224,20220331_SD02_3465.JPG,SD02,2022-03-31,Instigators,portrait,monkey
225,20220331_SD02_3470.JPG,SD02,2022-03-31,Instigators,portrait,monkey
226,20220331_SD02_3471.JPG,SD02,2022-03-31,Instigators,landscape,monkey
227,20220331_SD02_3472.JPG,SD02,2022-03-31,Instigators,landscape,monkey
228,20220331_SD02_3473.JPG,SD02,2022-03-31,Instigators,landscape,monkey
229,20220331_SD02_3474.JPG,SD02,2022-03-31,Instigators,portrait,monkey
230,20220331_SD02_3478.JPG,SD02,2022-03-31,Instigators,portrait,monkey
231,20220331_SD02_3479.JPG,SD02,2022-03-31,Instigators,portrait,monkey
232,20220331_SD02_3480.JPG,SD02,2022-03-31,Instigators,portrait,monkey
233,20220331_SD02_3482.JPG,SD02,2022-03-31,Instigators,portrait,monkey
234,20220331_SD02_3483.JPG,SD02,2022-03-31,Instigators,portrait,monkey
235,20220331_SD02_3484.JPG,SD02,2022-03-31,Instigators,portrait,monkey
236,20220331_SD02_3485.JPG,SD02,2022-03-31,Instigators,portrait,monkey
237,20220331_SD02_3486.JPG,SD02,2022-03-31,Instigators,portrait,monkey
238,20220331_SD02_3487.JPG,SD02,2022-03-31,Instigators,portrait,monkey
239,20220331_SD02_3488.JPG,SD02,2022-03-31,Instigators,portrait,monkey
240,20220331_SD02_3489.JPG,SD02,2022-03-31,Instigators,portrait,monkey
241,20220331_SD02_3490.JPG,SD02,2022-03-31,Instigators,portrait,monkey
242,20220331_SD02_3491.JPG,SD02,2022-03-31,Instigators,portrait,monkey
243,20220331_SD02_3492.JPG,SD02,2022-03-31,Instigators,portrait,monkey
244,20220331_SD02_3493.JPG,SD02,2022-03-31,Instigators,portrait,monkey
245,20220331_SD02_3494.JPG,SD02,2022-03-31,Instigators,portrait,monkey
246,20220331_SD02_3495.JPG,SD02,2022-03-31,Instigators,portrait,monkey
247,20220331_SD02_3496.JPG,SD02,2022-03-31,Instigators,portrait,monkey
248,20220331_SD02_3497.JPG,SD02,2022-03-31,Instigators,portrait,monkey
249,20220331_SD02_3499.JPG,SD02,2022-03-31,Instigators,portrait,monkey
250,20220331_SD02_3500.JPG,SD02,2022-03-31,Instigators,portrait,monkey
251,20220331_SD02_3501.JPG,SD02,2022-03-31,Instigators,portrait,monkey
252,20220331_SD02_3502.JPG,SD02,2022-03-31,Instigators,portrait,monkey
253,20220331_SD02_3503.JPG,SD02,2022-03-31,Instigators,portrait,monkey
