jpg_id,file_name,orientation
331,20220415_SD01_4077.JPG,portait
332,20220415_SD01_4078.JPG,portait
333,20220415_SD01_4079.JPG,portait
334,20220415_SD01_4080.JPG,portait
335,20220415_SD01_4081.JPG,portait
336,20220415_SD01_4082.JPG,portait
337,20220415_SD01_4086.JPG,portait
338,20220415_SD01_4087.JPG,landscape
339,20220415_SD01_4094.JPG,portait
340,20220415_SD01_4095.JPG,portait
341,20220415_SD01_4097.JPG,landscape
342,20220415_SD01_4105.JPG,portait
343,20220415_SD01_4109.JPG,landscape
344,20220415_SD01_4110.JPG,portait
345,20220415_SD01_4112.JPG,portait
346,20220415_SD01_4116.JPG,portait
347,20220415_SD01_4119.JPG,portait
348,20220415_SD01_4120.JPG,landscape
349,20220415_SD01_4133.JPG,landscape
350,20220415_SD01_4192.JPG,portait
351,20220415_SD01_4198.JPG,landscape
352,20220415_SD01_4202.JPG,portait
353,20220415_SD01_4209.JPG,portait
354,20220415_SD01_4210.JPG,portait
355,20220415_SD01_4213.JPG,portait
356,20220415_SD01_4214.JPG,portait
357,20220415_SD01_4220.JPG,portait
358,20220415_SD01_4232.JPG,landscape
359,20220415_SD01_4238.JPG,landscape
360,20220415_SD01_4239.JPG,landscape
361,20220415_SD01_4240.JPG,landscape
362,20220415_SD01_4241.JPG,landscape
363,20220415_SD01_4246.JPG,landscape
364,20220419_SD02_4259.JPG,landscape
365,20220419_SD02_4260.JPG,landscape
366,20220419_SD02_4263.JPG,portait
367,20220419_SD02_4264.JPG,portait
368,20220419_SD02_4265.JPG,portait
369,20220419_SD02_4267.JPG,portait
370,20220419_SD02_4270.JPG,portait
371,20220419_SD02_4272.JPG,portait
372,20220419_SD02_4273.JPG,portait
373,20220419_SD02_4278.JPG,portait
374,20220419_SD02_4280.JPG,portait
375,20220419_SD02_4281.JPG,portait
376,20220419_SD02_4282.JPG,portait
377,20220419_SD02_4283.JPG,portait
378,20220419_SD02_4284.JPG,portait
379,20220419_SD02_4286.JPG,portait
380,20220419_SD02_4296.JPG,portait
381,20220419_SD02_4297.JPG,portait
382,20220419_SD02_4298.JPG,portait
383,20220419_SD02_4299.JPG,portait
384,20220419_SD02_4300.JPG,portait
