jpg_id,file_name,monkey_group,sd_card,date_taken
195,20220331_SD02_3414.JPG,Stranger Things,SD02,2022-03-31
196,20220331_SD02_3417.JPG,Stranger Things,SD02,2022-03-31
197,20220331_SD02_3418.JPG,Stranger Things,SD02,2022-03-31
198,20220331_SD02_3419.JPG,Stranger Things,SD02,2022-03-31
199,20220331_SD02_3421.JPG,Stranger Things,SD02,2022-03-31
200,20220331_SD02_3422.JPG,Stranger Things,SD02,2022-03-31
201,20220331_SD02_3424.JPG,Stranger Things,SD02,2022-03-31
202,20220331_SD02_3425.JPG,Stranger Things,SD02,2022-03-31
203,20220331_SD02_3438.JPG,Instigators,SD02,2022-03-31
204,20220331_SD02_3439.JPG,Instigators,SD02,2022-03-31
205,20220331_SD02_3440.JPG,Instigators,SD02,2022-03-31
206,20220331_SD02_3441.JPG,Instigators,SD02,2022-03-31
207,20220331_SD02_3443.JPG,Instigators,SD02,2022-03-31
208,20220331_SD02_3444.JPG,Instigators,SD02,2022-03-31
209,20220331_SD02_3446.JPG,Instigators,SD02,2022-03-31
210,20220331_SD02_3447.JPG,Instigators,SD02,2022-03-31
211,20220331_SD02_3448.JPG,Instigators,SD02,2022-03-31
212,20220331_SD02_3449.JPG,Instigators,SD02,2022-03-31
213,20220331_SD02_3450.JPG,Instigators,SD02,2022-03-31
214,20220331_SD02_3453.JPG,Instigators,SD02,2022-03-31
215,20220331_SD02_3454.JPG,Instigators,SD02,2022-03-31
216,20220331_SD02_3455.JPG,Instigators,SD02,2022-03-31
217,20220331_SD02_3457.JPG,Instigators,SD02,2022-03-31
218,20220331_SD02_3458.JPG,Instigators,SD02,2022-03-31
219,20220331_SD02_3459.JPG,Instigators,SD02,2022-03-31
220,20220331_SD02_3461.JPG,Instigators,SD02,2022-03-31
221,20220331_SD02_3462.JPG,Instigators,SD02,2022-03-31
222,20220331_SD02_3463.JPG,Instigators,SD02,2022-03-31
223,20220331_SD02_3464.JPG,Instigators,SD02,2022-03-31
224,20220331_SD02_3465.JPG,Instigators,SD02,2022-03-31
225,20220331_SD02_3470.JPG,Instigators,SD02,2022-03-31
226,20220331_SD02_3471.JPG,Instigators,SD02,2022-03-31
227,20220331_SD02_3472.JPG,Instigators,SD02,2022-03-31
228,20220331_SD02_3473.JPG,Instigators,SD02,2022-03-31
229,20220331_SD02_3474.JPG,Instigators,SD02,2022-03-31
230,20220331_SD02_3478.JPG,Instigators,SD02,2022-03-31
231,20220331_SD02_3479.JPG,Instigators,SD02,2022-03-31
232,20220331_SD02_3480.JPG,Instigators,SD02,2022-03-31
233,20220331_SD02_3482.JPG,Instigators,SD02,2022-03-31
234,20220331_SD02_3483.JPG,Instigators,SD02,2022-03-31
235,20220331_SD02_3484.JPG,Instigators,SD02,2022-03-31
236,20220331_SD02_3485.JPG,Instigators,SD02,2022-03-31
237,20220331_SD02_3486.JPG,Instigators,SD02,2022-03-31
238,20220331_SD02_3487.JPG,Instigators,SD02,2022-03-31
239,20220331_SD02_3488.JPG,Instigators,SD02,2022-03-31
240,20220331_SD02_3489.JPG,Instigators,SD02,2022-03-31
241,20220331_SD02_3490.JPG,Instigators,SD02,2022-03-31
242,20220331_SD02_3491.JPG,Instigators,SD02,2022-03-31
243,20220331_SD02_3492.JPG,Instigators,SD02,2022-03-31
244,20220331_SD02_3493.JPG,Instigators,SD02,2022-03-31
245,20220331_SD02_3494.JPG,Instigators,SD02,2022-03-31
246,20220331_SD02_3495.JPG,Instigators,SD02,2022-03-31
247,20220331_SD02_3496.JPG,Instigators,SD02,2022-03-31
248,20220331_SD02_3497.JPG,Instigators,SD02,2022-03-31
249,20220331_SD02_3499.JPG,Instigators,SD02,2022-03-31
250,20220331_SD02_3500.JPG,Instigators,SD02,2022-03-31
251,20220331_SD02_3501.JPG,Instigators,SD02,2022-03-31
252,20220331_SD02_3502.JPG,Instigators,SD02,2022-03-31
253,20220331_SD02_3503.JPG,Instigators,SD02,2022-03-31
254,20220331_SD02_3504.JPG,Instigators,SD02,2022-03-31
255,20220331_SD02_3507.JPG,Instigators,SD02,2022-03-31
256,20220331_SD02_3508.JPG,Instigators,SD02,2022-03-31
257,20220331_SD02_3509.JPG,Instigators,SD02,2022-03-31
258,20220331_SD02_3510.JPG,Instigators,SD02,2022-03-31
259,20220331_SD02_3511.JPG,Instigators,SD02,2022-03-31
260,20220331_SD02_3512.JPG,Instigators,SD02,2022-03-31
261,20220331_SD02_3515.JPG,Instigators,SD02,2022-03-31
262,20220331_SD02_3516.JPG,Instigators,SD02,2022-03-31
263,20220331_SD02_3518.JPG,Instigators,SD02,2022-03-31
264,20220331_SD02_3522.JPG,Instigators,SD02,2022-03-31
265,20220331_SD02_3523.JPG,Instigators,SD02,2022-03-31
266,20220331_SD02_3524.JPG,Instigators,SD02,2022-03-31
267,20220331_SD02_3525.JPG,Instigators,SD02,2022-03-31
268,20220331_SD02_3527.JPG,Instigators,SD02,2022-03-31
269,20220331_SD02_3528.JPG,Instigators,SD02,2022-03-31
270,20220331_SD02_3529.JPG,Instigators,SD02,2022-03-31
271,20220331_SD02_3530.JPG,Instigators,SD02,2022-03-31
272,20220331_SD02_3534.JPG,Instigators,SD02,2022-03-31
273,20220331_SD02_3539.JPG,Instigators,SD02,2022-03-31
